,accession,sporulation,domain,phylum,class,order,family
0,GB_GCA_000091165.1,no,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__Methylomirabilaceae
1,GB_GCA_000173575.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2,GB_GCA_000270325.1,no,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Caldarchaeales,f__Caldarchaeaceae
3,GB_GCA_000307935.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SAR86,f__D2472
4,GB_GCA_000333815.1,no,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae
5,GB_GCA_000384935.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SAR86,f__D2472
6,GB_GCA_000385055.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SAR86,f__D2472
7,GB_GCA_000387965.1,no,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Nanoarchaeales,f__Nanopusillaceae
8,GB_GCA_000402655.1,no,d__Bacteria,p__Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__Marinisomataceae
9,GB_GCA_000402815.1,no,d__Bacteria,p__Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__Marinisomataceae
10,GB_GCA_000421085.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
11,GB_GCA_000503875.1,no,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Absconditabacterales,f__X112
12,GB_GCA_000517005.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
13,GB_GCA_000522425.1,no,d__Bacteria,p__Tectomicrobia,c__Entotheonellia,o__Entotheonellales,f__Entotheonellaceae
14,GB_GCA_000613065.1,no,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae
15,GB_GCA_000632805.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
