,accession,oxytolerance,domain,phylum,class,order,family
0,RS_GCF_001040945.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1,RS_GCF_007995015.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Luteibaculaceae
2,RS_GCF_900100655.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Kiloniellales,f__Rhodovibrionaceae
3,RS_GCF_000243235.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
4,RS_GCF_003387535.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
5,RS_GCF_003067705.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
6,RS_GCF_014207655.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Marinococcaceae
7,RS_GCF_000169175.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
8,RS_GCF_000012865.1,anaerobe,d__Bacteria,p__Firmicutes_B,c__Desulfotomaculia,o__Carboxydothermales,f__Carboxydothermaceae
9,RS_GCF_008831035.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae
10,RS_GCF_000421825.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
11,RS_GCF_000429785.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chitinibacteraceae
12,RS_GCF_014206945.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae
13,RS_GCF_000526375.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Aminiphilaceae
14,RS_GCF_001311925.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Cellulosilyticaceae
15,RS_GCF_002165625.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Neiellaceae
16,RS_GCF_000153705.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
17,RS_GCF_900129725.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
18,RS_GCF_002087085.1,anaerobe,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__JC444,f__Marispirochaetaceae
19,RS_GCF_000315425.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
20,RS_GCF_000620765.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae
21,RS_GCF_004339015.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae
